Year,5-Year_MA,Month,Temperature_Values,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Avg_Seasonal_Temp
1947,0.15657915797632038,Mar,0.038770348989337566,0,1,0,0,0.038770348989337566
1948,0.1158466767840999,Mar,-0.07072552382586685,0,1,0,0,-0.07072552382586685
1949,0.013433581215088374,Mar,-0.22401974576715306,0,1,0,0,-0.22401974576715306
1950,-0.11574657342309662,Mar,-0.3006668567377962,0,1,0,0,-0.3006668567377962
1951,-0.21583209863826694,Mar,-0.4156375231937608,0,1,0,0,-0.4156375231937608
1952,-0.3007884165534697,Mar,-0.49228463416440393,0,1,0,0,-0.49228463416440393
1953,-0.3403571125687696,Mar,-0.3006668567377962,0,1,0,0,-0.3006668567377962
1954,-0.3461760384533725,Mar,-0.3718391740676791,0,1,0,0,-0.3718391740676791
1955,-0.3182451942072785,Mar,-0.5032342214459243,0,1,0,0,-0.5032342214459243
1956,-0.30427977208423146,Mar,-0.5087090150866845,0,1,0,0,-0.5087090150866845
1957,-0.29031434996118444,Mar,-0.49228463416440393,0,1,0,0,-0.49228463416440393
1958,-0.3007884165534697,Mar,-0.5087090150866845,0,1,0,0,-0.5087090150866845
1959,-0.29031434996118444,Mar,-0.32804082494159725,0,1,0,0,-0.32804082494159725
1960,-0.2705300019535345,Mar,-0.34446520586387797,0,1,0,0,-0.34446520586387797
1961,-0.20768560239982287,Mar,-0.18022139664107129,0,1,0,0,-0.18022139664107129
1962,-0.15182391390763478,Mar,-0.09809949202966796,0,1,0,0,-0.09809949202966796
1963,-0.09479844023852607,Mar,-0.21854495212639283,0,1,0,0,-0.21854495212639283
1964,-0.08316058846932023,Mar,-0.4320619041160415,0,1,0,0,-0.4320619041160415
1965,-0.0936346550616055,Mar,-0.31161644401931665,0,1,0,0,-0.31161644401931665
1966,-0.14716877319995242,Mar,-0.3389904122231177,0,1,0,0,-0.3389904122231177
1967,-0.2041942468690611,Mar,-0.3663643804269189,0,1,0,0,-0.3663643804269189
1968,-0.2751851426612168,Mar,-0.18022139664107129,0,1,0,0,-0.18022139664107129
1969,-0.2903143499611844,Mar,-0.05977593654434641,0,1,0,0,-0.05977593654434641
1970,-0.27984028336889916,Mar,0.044245142630097795,0,1,0,0,0.044245142630097795
1971,-0.25772836500740803,Mar,-0.07620031746662707,0,1,0,0,-0.07620031746662707
1972,-0.22630616523055225,Mar,-0.0871499047481475,0,1,0,0,-0.0871499047481475
1973,-0.15182391390763478,Mar,-0.03787676198130554,0,1,0,0,-0.03787676198130554
1974,-0.12040171413077895,Mar,-0.07072552382586689,0,1,0,0,-0.07072552382586689
1975,-0.10992764753849368,Mar,-0.03787676198130556,0,1,0,0,-0.03787676198130556
1976,-0.09945358094620842,Mar,-0.0543011429035862,0,1,0,0,-0.0543011429035862
1977,-0.07268652187703496,Mar,0.06066952355237847,0,1,0,0,0.06066952355237847
1978,-0.0843243736462408,Mar,0.00592158714477625,0,1,0,0,0.00592158714477625
1979,-0.05522974422322616,Mar,0.13731663452302156,0,1,0,0,0.13731663452302156
1980,0.00994222568432664,Mar,0.23038812641594528,0,1,0,0,0.23038812641594528
1981,0.1263207433763852,Mar,0.6081488876284006,0,1,0,0,0.6081488876284006
1982,0.21825977235311145,Mar,0.493178221172436,0,1,0,0,0.493178221172436
1983,0.348603712168217,Mar,0.6136236812691608,0,1,0,0,0.6136236812691608
1984,0.4521805929141492,Mar,0.6519472367544823,0,1,0,0,0.6519472367544823
1985,0.5080422814063373,Mar,0.5862497130653597,0,1,0,0,0.5862497130653597
1986,0.49873199999097256,Mar,0.4877034275316758,0,1,0,0,0.4877034275316758
1987,0.5150249924678607,Mar,0.5698253321430791,0,1,0,0,0.5698253321430791
1988,0.5126974221140196,Mar,0.6245732685506813,0,1,0,0,0.6245732685506813
1989,0.5231714887063049,Mar,0.6793212049582835,0,1,0,0,0.6793212049582835
1990,0.5883434586138576,Mar,1.0242332043261775,0,1,0,0,1.0242332043261775
1991,0.6954116948905515,Mar,1.0516071725299787,0,1,0,0,1.0516071725299787
1992,0.769893946213469,Mar,1.2158509817527852,0,1,0,0,1.2158509817527852
1993,0.8164453532902924,Mar,1.133729077141382,0,1,0,0,1.133729077141382
1994,0.8548502641286715,Mar,1.0954055216560605,0,1,0,0,1.0954055216560605
1995,0.8536864789517511,Mar,0.9147373315109729,0,1,0,0,0.9147373315109729
1996,0.8187729236441335,Mar,0.8983129505886923,0,1,0,0,0.8983129505886923
1997,0.8245918495287364,Mar,0.9202121251517332,0,1,0,0,0.9202121251517332
1998,0.893255174967051,Mar,1.0680315534522593,0,1,0,0,1.0680315534522593
1999,0.9654098559361273,Mar,1.0844559343745401,0,1,0,0,1.0844559343745401
2000,1.032909396197521,Mar,1.1282542835006215,0,1,0,0,1.1282542835006215
2001,1.131831136235771,Mar,1.2541745372381068,0,1,0,0,1.2541745372381068
2002,1.2202788096817354,Mar,1.4512671083054747,0,1,0,0,1.4512671083054747
2003,1.2656664315816382,Mar,1.434842727383194,0,1,0,0,1.434842727383194
2004,1.320364334896906,Mar,1.6045613302467612,0,1,0,0,1.6045613302467612
